2663.6,3032.8,-0.25677,0.22804,0.18392,0.057833,-0.092857,0.011067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2602.7,2710.3,0.61626,-0.74067,0.91113,0.9371,-0.3001,-0.29412
3520.2,1864.3,-0.33627,-0.30108,0.16326,0.69365,-0.0048942,-0.12593,3066.2,2780.2,0.15649,-0.32123,0.13927,0.23297,0.022048,0.32152
4267.8,4802.2,-0.50162,0.47961,0.33339,0.47601,-0.27857,-0.28275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
