run_id,subject,chinFirst,chin,trial_index,option_topLeft,option_bottomLeft,option_topRight,option_bottomRight,window_width,window_height,window_width_max,window_height_max,window_diagonal,window_diagonal_max,time_elapsed,trial_duration_exact,recorded_at,rt,key_press,fps,LL_top,aLL,aSS,tSS,tLL,choseTop,choseLL,choiceNr,optionIndex,attributeIndex,trans_type_0,trans_type_1,trans_type_2,trans_type_3,trans_type_4,trans_type_6,trans_type_7,payneIndex,k,age,gender,ethnic,degree
16,473,1,1.0,187,1.0,5.0,0.0,180.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,487189,1931,2020-11-19 15:31:52,1927.160000006552,66.0,10.357327809425168,0,5.0,1.0,0,180.0,0.0,0,14.0,0.0,0.25,4,1,0,0,2,1,0,0.5,0.022222222222222223,1995,male,caucasian,college
16,473,1,1.0,190,4.0,5.0,0.0,365.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,495068,4794,2020-11-19 15:31:52,4789.839999997639,66.0,14.810179390905299,0,5.0,4.0,0,365.0,0.0,0,15.0,-0.4444444444444444,0.4444444444444444,26,2,1,3,1,3,0,-0.3333333333333333,0.0006849315068493151,1995,male,caucasian,college
16,473,1,1.0,193,4.0,5.0,0.0,90.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,500852,2739,2020-11-19 15:31:52,2735.995000010007,66.0,16.79445052939029,0,5.0,4.0,0,90.0,0.0,0,16.0,-0.35714285714285715,-0.42857142857142855,20,1,1,2,0,3,1,-0.6666666666666666,0.002777777777777778,1995,male,caucasian,college
16,473,1,1.0,196,2.5,4.5,0.0,365.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,508099,4128,2020-11-19 15:31:52,4123.009999995702,66.0,11.385658914728682,0,4.5,2.5,0,365.0,0.0,0,17.0,0.15789473684210525,0.2631578947368421,12,2,0,1,2,2,0,0.14285714285714285,0.0021917808219178085,1995,male,caucasian,college
16,473,1,1.0,199,2.5,5.0,0.0,180.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,514356,3123,2020-11-19 15:31:52,3117.1750000066827,66.0,11.527377521613833,0,5.0,2.5,0,180.0,0.0,0,18.0,0.0,-0.18181818181818182,17,1,0,1,2,1,0,0.2,0.005555555555555556,1995,male,caucasian,college
16,473,1,1.0,202,4.5,4.0,15.0,0.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,519584,2131,2020-11-19 15:31:52,2126.7899999947986,90.0,21.586109807602064,1,4.5,4.0,0,15.0,1.0,1,19.0,-0.14285714285714285,0.2,31,1,0,1,1,1,0,0.0,0.008333333333333333,1995,male,caucasian,college
16,473,1,1.0,205,4.0,2.5,30.0,0.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,525758,3026,2020-11-19 15:31:52,3020.365000003949,90.0,9.914077990746861,1,4.0,2.5,0,30.0,1.0,1,20.0,0.07692307692307693,0.23076923076923078,8,1,0,2,1,1,0,-0.2,0.020000000000000004,1995,male,caucasian,college
16,473,1,1.0,208,4.0,4.5,0.0,30.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,532652,3799,2020-11-19 15:31:52,3795.700000002398,66.0,18.425901553040273,0,4.5,4.0,0,30.0,0.0,0,21.0,0.1111111111111111,0.0,25,2,1,2,2,3,1,-0.1111111111111111,0.004166666666666667,1995,male,caucasian,college
16,473,1,1.0,211,5.0,2.0,365.0,0.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,538167,2455,2020-11-19 15:31:52,2452.384999996866,90.0,17.5152749490835,1,5.0,2.0,0,365.0,1.0,1,22.0,-0.2,0.3,13,1,0,4,1,1,0,-0.42857142857142855,0.00410958904109589,1995,male,caucasian,college
16,473,1,1.0,214,1.0,5.0,0.0,365.0,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,545956,4705,2020-11-19 15:31:52,4701.314999998431,66.0,15.090329436769395,0,5.0,1.0,0,365.0,0.0,0,23.0,-0.2972972972972973,0.1891891891891892,27,2,1,3,1,3,0,-0.3333333333333333,0.010958904109589041,1995,male,caucasian,college
