run_id,subject,chinFirst,trial_index,index,task_nr,chin,x_pos,y_pos,px,py,x,y,fps,window_width_max,window_height_max,offset,offset_perc
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,428,383,,1280.0,720.0,173.53097706173386,24.10152459190748
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,358,241,,1280.0,720.0,156.7322557739791,21.768368857497094
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,339,402,,1280.0,720.0,93.02150289046077,12.91965317923066
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,309,321,,1280.0,720.0,65.80273550544841,9.139268820201169
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,335,301,,1280.0,720.0,98.60020283954795,13.694472616603882
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,366,368,,1280.0,720.0,110.2905254316979,15.318128532180264
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,439,373,,1280.0,720.0,183.46116755324545,25.48071771572853
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,457,305,,1280.0,720.0,208.38905921376966,28.94292489080134
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,375,398,,1280.0,720.0,124.91997438360288,17.349996442167065
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,359,314,,1280.0,720.0,112.80514172678478,15.667380795386777
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,366,406,,1280.0,720.0,119.23086848631104,16.55984284532098
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,277,328,,1280.0,720.0,38.27531841800928,5.316016446945733
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,384,369,,1280.0,720.0,128.3160161476345,17.821668909393683
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,384,369,,1280.0,720.0,128.3160161476345,17.821668909393683
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,351,343,,1280.0,720.0,96.5090669315583,13.404037073827542
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,309,301,,1280.0,720.0,79.30952023559341,11.015211143832419
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,260,415,,1280.0,720.0,55.14526271584895,7.659064266090132
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,351,386,,1280.0,720.0,98.49365461794989,13.67967425249304
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,310,411,,1280.0,720.0,74.27651041883968,10.316182002616623
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,293,260,,1280.0,720.0,106.6255128944288,14.80909901311511
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,294,298,,1280.0,720.0,72.71863585079137,10.099810534832134
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,371,311,,1280.0,720.0,125.00399993600205,17.36166665777806
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,339,375,,1280.0,720.0,84.34453153583817,11.714518268866414
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,385,309,,1280.0,720.0,138.7155362603627,19.266046702828156
16.0,473.0,1.0,109.0,109,1.0,1.0,0.2,0.5,256.0,360.0,259,325,,1280.0,720.0,35.12833614050059,4.8789355750695265
