run_id,subject,chinFirst,chin,x_pos,y_pos,task_nr,trial_index,time_elapsed,window_width,window_height,window_width_max,window_height_max,window_diagonal,window_diagonal_max,t_startTrial,trial_duration_exact,x_mean,y_mean,fps,fixation_nr,positionIndex,offset,offset_perc,precision,precision_perc,age,device,browser,platform,gender,ethnic,sight,glasses,degree,eyeshadow,masquara,eyeliner,browliner,vertPosition,triedChin,keptHead
16,473,1,1.0,0.2,0.5,1.0,109,332275,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,327190,5085,382.25396825396825,372.87301587301585,12.389380530973451,1,16,147.10181115124337,20.43080710433936,109.68590948812357,15.23415409557272,1995,WebKit,Chrome,Windows,male,caucasian,glasses,shortSight,college,0,0,0,0,b,1,1
16,473,1,1.0,0.2,0.2,1.0,112,340524,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,335420,5104,352.14864864864865,242.67567567567568,14.498432601880877,2,16,152.23335296279768,21.143521244833018,126.86785959569501,17.62053605495764,1995,WebKit,Chrome,Windows,male,caucasian,glasses,shortSight,college,0,0,0,0,b,1,1
16,473,1,1.0,0.2,0.8,1.0,115,349019,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,343619,5400,379.6885245901639,513.9344262295082,11.296296296296296,3,16,156.71520080368072,21.7660001116223,141.74259859661166,19.686472027307175,1995,WebKit,Chrome,Windows,male,caucasian,glasses,shortSight,college,0,0,0,0,b,1,1
16,473,1,1.0,0.8,0.2,1.0,118,357169,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,352090,5079,986.9634146341464,291.280487804878,16.144910415436108,4,16,195.24337022346594,27.11713475325915,156.49465973217005,21.73536940724584,1995,WebKit,Chrome,Windows,male,caucasian,glasses,shortSight,college,0,0,0,0,b,1,1
16,473,1,1.0,0.5,0.5,1.0,121,365365,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,360289,5076,669.765625,325.515625,12.60835303388495,5,16,95.18998672147595,13.220831489093884,95.46330027407784,13.258791704733035,1995,WebKit,Chrome,Windows,male,caucasian,glasses,shortSight,college,0,0,0,0,b,1,1
16,473,1,1.0,0.8,0.5,1.0,124,373450,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,368401,5049,1040.2597402597403,304.38961038961037,15.250544662309368,6,16,127.93888470817225,17.769289542801687,142.99337542021465,19.86019103058537,1995,WebKit,Chrome,Windows,male,caucasian,glasses,shortSight,college,0,0,0,0,b,1,1
16,473,1,1.0,0.5,0.8,1.0,127,381637,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,376544,5093,736.4857142857143,491.0,13.744354997054781,7,16,148.55371870124853,20.632460930728957,119.84081618751516,16.64455780382155,1995,WebKit,Chrome,Windows,male,caucasian,glasses,shortSight,college,0,0,0,0,b,1,1
16,473,1,1.0,0.5,0.2,1.0,130,389841,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,384734,5107,676.2307692307693,220.87692307692308,12.727628744859997,8,16,136.77474145614784,18.996491868909416,130.38502473273613,18.10903121288002,1995,WebKit,Chrome,Windows,male,caucasian,glasses,shortSight,college,0,0,0,0,b,1,1
16,473,1,1.0,0.8,0.8,1.0,133,397971,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,392921,5050,912.7662337662338,479.61038961038963,15.247524752475247,9,16,171.50581808108498,23.8202525112618,156.37858257945615,21.71924758048002,1995,WebKit,Chrome,Windows,male,caucasian,glasses,shortSight,college,0,0,0,0,b,1,1
17,75,1,1.0,0.8,0.5,1.0,109,362043,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,357006,5037,921.1680672268908,420.2689075630252,23.625173714512606,1,17,162.2362012782477,22.53280573308996,186.28585681831342,25.873035669210196,1995,WebKit,Chrome,Windows,diverse,hispanic,notCorrected,noCorrection,highSchool,0,0,0,0,b,1,1
17,75,1,1.0,0.5,0.2,1.0,112,370143,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,365091,5052,600.0350877192982,225.9561403508772,22.565320665083135,2,17,134.25361670685592,18.64633565372999,137.0374081451778,19.032973353496917,1995,WebKit,Chrome,Windows,diverse,hispanic,notCorrected,noCorrection,highSchool,0,0,0,0,b,1,1
17,75,1,1.0,0.8,0.2,1.0,115,378235,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,373183,5052,1003.0672268907563,277.21008403361344,23.555027711797308,3,17,205.83704079638622,28.58847788838696,208.03638196044832,28.893941938951155,1995,WebKit,Chrome,Windows,diverse,hispanic,notCorrected,noCorrection,highSchool,0,0,0,0,b,1,1
17,75,1,1.0,0.8,0.8,1.0,118,386333,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,381291,5042,849.1166666666667,464.5416666666667,23.80007933359778,4,17,221.67206658557086,30.787787025773742,130.8392830388149,18.17212264427985,1995,WebKit,Chrome,Windows,diverse,hispanic,notCorrected,noCorrection,highSchool,0,0,0,0,b,1,1
17,75,1,1.0,0.2,0.2,1.0,121,394394,1280.0,720.0,1280.0,720.0,1468.6047800548656,1468.6047800548656,389358,5036,388.76666666666665,270.15,23.828435266084195,5,17,191.98864262772506,26.665089253850716,125.01215829759208,17.362799763554456,1995,WebKit,Chrome,Windows,diverse,hispanic,notCorrected,noCorrection,highSchool,0,0,0,0,b,1,1
