0.0025,0,50,2,-963.86,1947.3,1935.7
0.005,0.0025,100,2.25,-918,1855.6,1844
0.005,0.0001,60,1.5,-973.89,1967.3,1955.8
0.005,0.0025,100,2,-943.95,1907.4,1895.9
0.005,0.005,90,2,-962.77,1945.1,1933.5
0.0025,0.001,80,2.25,-943.9,1907.3,1895.8
0.0025,0.055,70,2,-1004.2,2027.9,2016.3
0.0025,0.035,140,2,-998.83,2017.2,2005.7
0.005,0.035,110,2,-1005.9,2031.4,2019.8
0.0025,0.001,70,2,-965.78,1951.1,1939.6
0.005,0.065,100,2,-979.31,1978.2,1966.6
0.005,0.0001,90,1.75,-985.53,1990.6,1979.1
0.0025,0.001,80,2,-989.17,1997.9,1986.3
0.005,0.005,140,2.5,-951.76,1923.1,1911.5
0.005,0.005,120,2,-938,1895.6,1884
0.0025,0.001,60,2,-954.67,1928.9,1917.3
0.0025,0.01,120,2.25,-982.2,1983.9,1972.4
0.005,0.01,90,2,-1001.5,2022.6,2011
0.005,0,50,1.5,-963.2,1946,1934.4
