1,4,3,1,2,4,1,3,1,3,4,2,2,3
2,4,4,2,4,2,2,3,2,3,3,1,2,4
3,3,3,2,2,3,2,3,1,2,3,2,2,2
4,4,4,2,4,4,2,4,2,3,3,2,2,3
5,3,3,2,4,3,2,4,2,4,4,2,2,4
6,4,3,2,4,3,1,3,1,4,4,2,2,4
7,4,3,2,3,3,1,3,2,4,4,2,2,2
8,3,4,2,2,3,2,3,1,3,3,2,2,3
9,4,2,2,2,3,3,3,2,2,4,2,3,4
10,3,2,2,2,3,3,4,2,3,4,2,2,3
11,3,4,2,4,4,1,3,1,4,4,1,2,4
12,3,3,1,2,3,1,3,1,3,3,1,1,3
13,4,4,2,3,4,1,4,1,4,4,2,2,4
14,2,2,3,3,3,3,2,2,2,4,3,3,2
15,3,3,3,2,2,3,3,2,3,3,2,3,3
16,2,4,2,2,3,3,2,3,2,3,3,3,2
17,4,2,2,3,3,2,3,2,3,3,2,2,4
18,4,4,1,3,4,1,4,1,4,4,1,2,3
19,3,4,1,3,3,2,3,2,3,3,2,2,3
20,4,4,1,3,3,1,4,1,4,4,2,1,4
21,3,4,1,3,4,2,3,2,3,3,2,2,3
22,3,4,1,2,2,2,3,2,3,3,1,2,3
23,4,3,2,2,2,2,3,2,4,3,2,2,4
24,4,2,1,3,3,2,3,2,3,4,2,2,3
25,2,1,3,2,3,3,2,4,2,3,2,2,3
26,4,3,2,2,2,2,3,2,3,4,2,2,4
27,3,4,1,3,4,2,3,1,4,4,1,1,3
28,2,3,2,2,2,2,3,2,1,3,2,3,2
29,4,3,2,3,3,1,4,2,3,4,2,2,4
30,4,2,3,2,1,3,3,3,2,3,2,3,3
31,4,4,2,3,4,2,4,1,3,4,2,2,3
32,3,3,2,1,2,2,2,2,2,2,3,2,2
33,3,3,2,2,3,2,3,3,2,4,3,3,2
34,3,4,2,3,3,1,3,2,3,4,2,2,3
35,3,4,2,2,3,1,3,2,3,3,2,2,3
36,3,3,2,3,2,3,3,2,2,3,2,3,3
37,3,1,2,1,1,2,2,1,2,3,2,3,1
38,3,3,2,3,3,2,3,2,3,4,1,1,3
39,3,4,2,4,4,1,4,2,4,4,1,2,4
40,3,2,3,3,3,2,4,2,3,4,2,2,4
41,3,4,2,3,3,2,4,2,4,4,1,1,4
42,3,4,2,3,4,2,3,2,3,4,2,2,3
43,4,3,1,2,4,2,3,1,4,4,2,2,4
44,3,2,2,2,4,2,3,2,2,3,1,2,3
45,3,3,2,2,2,2,3,2,3,3,3,1,3
46,4,4,2,3,4,2,4,3,4,4,1,2,4
47,4,3,2,2,4,2,2,2,3,3,2,2,3
48,4,4,2,3,4,1,4,1,4,4,2,1,4
49,4,4,2,4,4,2,3,1,4,4,1,2,4
50,3,3,1,3,3,1,1,1,3,4,2,1,4
51,3,4,2,3,4,2,4,2,3,3,2,2,3
52,3,3,2,2,2,1,2,1,3,2,2,2,3
53,3,2,2,2,4,2,2,1,2,4,3,2,4
54,3,3,2,3,3,2,2,1,2,2,2,2,2
55,3,3,2,2,3,2,3,3,3,4,3,2,3
56,3,3,2,3,4,2,3,2,3,4,2,2,3
57,3,3,1,3,2,2,3,2,3,4,1,1,3
58,3,3,2,3,3,1,4,1,3,3,2,2,3
59,3,2,2,3,3,2,4,1,3,4,1,2,3
60,3,3,2,2,4,2,2,3,2,3,3,2,3
61,4,3,2,3,1,2,3,3,3,3,2,3,3
62,3,2,2,3,2,2,3,3,2,4,2,3,2
63,3,3,1,3,4,2,3,2,3,4,1,2,3
64,2,3,3,2,2,2,2,1,2,2,2,2,2
65,3,3,1,3,3,2,3,1,3,4,1,2,3
66,2,3,2,1,4,2,2,3,2,2,4,2,1
67,4,4,1,3,4,1,3,1,4,3,2,1,3
68,2,3,3,1,3,2,1,3,2,3,3,2,1
69,3,4,2,3,4,2,4,1,3,4,2,3,3
70,4,3,2,4,4,2,3,2,4,4,2,2,4
71,2,3,2,3,,4,2,2,2,3,3,3,3
72,3,2,2,3,3,1,4,2,,2,2,2,3
73,4,3,2,4,4,2,3,3,4,4,2,2,4
74,4,4,2,1,4,2,3,2,4,4,3,2,3
75,4,3,2,2,2,2,4,2,4,3,2,3,4
76,4,3,2,3,4,2,3,3,3,4,1,1,3
77,4,4,2,4,4,2,4,2,3,4,1,2,4
78,3,4,2,3,4,2,3,2,3,3,2,2,3
79,2,3,2,4,3,1,3,2,4,4,1,2,4
80,3,4,1,3,4,2,4,2,4,4,1,2,4
81,4,4,2,3,3,2,4,1,3,3,1,2,3
82,4,4,2,3,3,2,4,1,3,4,1,2,3
83,3,3,1,3,4,2,3,1,4,4,1,2,4
84,3,3,1,3,4,1,4,2,4,4,2,2,4
85,3,4,1,3,3,1,3,2,3,3,1,1,3
86,3,4,2,3,4,2,3,3,3,4,2,2,3
87,3,3,2,2,2,2,3,2,3,3,3,2,3
88,4,3,2,3,2,2,4,2,3,4,1,2,4
89,4,4,2,4,4,2,3,2,4,4,2,2,4
90,4,4,1,3,3,2,3,1,4,3,2,1,3
91,4,2,1,2,3,2,4,1,3,4,1,2,3
92,3,3,2,3,3,2,3,2,3,4,2,3,4
93,4,4,2,2,4,2,3,3,4,4,3,2,4
94,3,4,1,3,4,1,3,2,4,4,1,1,4
95,2,2,2,2,4,2,3,2,3,4,1,2,4
96,4,4,1,4,4,2,4,1,4,4,1,1,4
97,3,3,1,3,4,1,4,1,2,3,1,2,4
98,3,3,2,3,3,1,3,2,3,4,1,2,4
99,3,2,2,4,3,3,3,1,3,4,1,3,3
100,2,2,2,2,3,2,2,2,2,3,2,2,3
